Solver:   GLPSOL 3.0.4 (options used: --simplex)
Computer: Pentium II MMX 266 MHz
Platform: Debian GNU/Linux 2.2
Compiler: GCC 2.95.2 (options used: -O3)
Test set: netlib lp collection <ftp://ftp.netlib.org/lp/data/>

Problem    Rows   Cols  Nonzeros    Optimum     Iters  Time,s  Mem,MB
--------  -----  -----  --------  ------------  -----  ------  ------
25FV47      822   1571     11127  +5.50185E+03   1317    10.8    1.6
80BAU3B    2263   9799     29063  +9.87224E+05   6816   196.8    5.7
ADLITTLE     57     97       465  +2.25495E+05     70     0.0    0.1
AFIRO        28     32        88  -4.64753E+02     15     0.0    0.1
AGG         489    163      2541  -3.59918E+08     96     0.2    0.5
AGG2        517    302      4515  -2.02393E+07    165     0.3    0.7
AGG3        517    302      4531  -1.03121E+07    162     0.3    0.7
BANDM       306    472      2659  -1.58628E+02    231     0.4    0.5
BEACONFD    174    262      3476  +3.35925E+04     30     0.1    0.4
BLEND        75     83       521  -3.08121E+01     74     0.0    0.1
BNL1        644   1175      6129  +1.97763E+03    660     3.2    1.1
BNL2       2325   3489     16124  +1.81124E+03   1328    17.9    3.3
BOEING1     351    384      3865  -3.35214E+02    489     0.9    0.6
BOEING2     167    143      1339  -3.15019E+02    137     0.1    0.3
BORE3D      234    315      1525  +1.37308E+03     44     0.1    0.3
BRANDY      221    249      2150  +1.51851E+03    201     0.3    0.4
CAPRI       272    353      1786  +2.69001E+03    183     0.2    0.4
CYCLE      1904   2857     21322  -5.22639E+00    599     5.8    3.2
CZPROB      930   3523     14173  +2.18520E+06    995    10.8    2.4
D2Q06C     2172   5167     35674  +1.22784E+05   6434   180.2    4.8
D6CUBE      416   6184     43888  +3.15492E+02   5901   188.9    4.6
DEGEN2      445    534      4449  -1.43518E+03    711     1.8    0.7
DEGEN3     1504   1818     26230  -9.87294E+02   2260    27.5    3.4
DFL001     6072  12230     41873  +1.12664E+07  49946  ~45min    9.4
E226        224    282      2767  -1.16389E+01    265     0.5    0.4 (*)
ETAMACRO    401    688      2489  -7.55715E+02    415     0.9    0.6
FFFFF800    525    854      6235  +5.55680E+05    167     0.5    1.0
FINNIS      498    614      2714  +1.72791E+05    362     0.8    0.7
FIT1D        25   1026     14430  -9.14638E+03    491     2.9    1.2
FIT1P       628   1677     10894  +9.14638E+03    634     3.5    1.7
FIT2D        26  10500    138018  -6.84643E+04   5772   504.4   11.1
FIT2P      3001  13525     60784  +6.84643E+04   7128   315.4    9.4
FORPLAN     162    421      4916  -6.64219E+02    175     0.4    0.5
GANGES     1310   1681      7021  -1.09586E+05    642     3.4    1.7
GFRD-PNC    617   1092      3467  +6.90224E+06    446     1.0    0.9
GREENBEA   2393   5405     31499  -7.25552E+07   5526   128.2    4.8 (a)
GREENBEB   2393   5405     31499  -4.30226E+06   3587    85.1    4.8
GROW15      301    645      5665  -1.06871E+08   1039     3.4    0.8 (a)
GROW22      441    946      8318  -1.60834E+08   1268     5.9    1.1 (a)
GROW7       141    301      2633  -4.77878E+07    272     0.5    0.4 (a)
ISRAEL      175    142      2358  -8.96645E+05    143     0.2    0.3
KB2          44     41       291  -1.74990E+03     33     0.0    0.1
LOTFI       154    308      1086  -2.52647E+01    104     0.1    0.3
MAROS       847   1443     10006  -5.80637E+04   1258     6.8    1.5
MAROS-R7   3137   9408    151120  +1.49719E+06   3406   216.3   14.9
MODSZK1     688   1620      4158  +3.20620E+02    646     2.8    1.1
NESM        663   2923     13988  +1.40760E+07   2453    24.4    2.0
PEROLD      626   1376      6026  -9.38076E+03   1072     6.1    1.1
PILOT      1442   3652     43220  -5.57488E+02   4042   139.3    5.8 (a)
PILOT-JA    941   1988     14706  -6.11314E+03   1629    16.3    2.0
PILOT-WE    723   2789      9218  -2.72011E+06   1468    13.4    1.8
PILOT4      411   1000      5145  -2.58114E+03    535     2.2    1.0
PILOT87    2031   4883     73804  +3.01710E+02   5813   339.9    8.5 (a)
PILOTNOV    976   2172     13129  -4.49728E+03    812     7.9    2.0
QAP12      3193   8856     44244  +5.22894E+02  34453  ~50min   11.0
QAP15      6331  22275    110700                                     (b)
RECIPE       92    180       752  -2.66616E+02     17     0.0    0.2
SC105       106    103       281  -5.22021E+01     49     0.0    0.1
SC205       206    203       552  -5.22021E+01    114     0.1    0.2
SC50A        51     48       131  -6.45751E+01     25     0.0    0.1
SC50B        51     48       119  -7.00000E+01     29     0.0    0.1
SCAGR25     472    500      2029  -1.47534E+07    309     0.6    0.6
